Number
36
23
32
29
24
36
16
36
12
27
9
2
6
36
8
16
28
32
15
12
5
26
9
12
17
1
1
0
35
29
26
5
3
32
28
31
11
10
30
7
21
32
10
19
0
19
21
24
22
20
17
5
30
26
22
7
10
31
19
12
12
20
24
9
3
14
36
22
1
31
23
31
23
16
4
1
13
30
12
17
18
14
34
27
10
21
26
35
31
14
9
29
32
7
14
0
29
21
22
8
14
23
25
25
30
11
22
13
0
7
6
16
32
8
