Number
6
16
32
35
16
20
27
17
27
12
2
21
1
30
32
7
4
9
26
34
14
32
23
11
31
21
9
21
5
4
9
25
14
36
19
5
22
7
20
35
0
28
12
6
31
17
34
12
24
11
25
26
15
13
1
9
30
24
21
23
29
2
12
7
6
31
2
15
27
32
5
5
4
32
8
24
17
27
5
32
8
36
0
17
27
14
7
13
15
23
9
14
30
8
29
14
15
6
3
9
0
21
4
29
18
4
29
33
16
10
32
33
33
20
35
27
2
24
33
11
30
8
18
2
25
26
0
24
33
29
3
9
21
36
24
29
15
16
27
26
23
18
35
