Number
27
5
3
2
29
29
3
11
23
21
7
18
8
18
12
23
12
2
18
32
18
2
14
16
21
31
19
22
35
19
29
33
10
6
30
5
5
35
21
26
32
17
21
0
20
27
7
6
9
13
27
7
29
30
22
7
22
0
4
5
1
6
15
3
31
19
25
15
21
36
8
15
28
14
13
13
30
34
35
15
34
36
8
6
31
18
25
27
7
28
1
13
2
26
19
31
26
22
17
35
35
2
15
29
33
22
25
29
7
23
13
21
32
25
8
9
26
12
11
28
8
14
2
6
17
24
27
24
21
23
16
16
26
24
31
16
21
3
15
4
5
31
15
12
35
13
31
