Number
34
27
19
29
35
18
21
2
33
26
10
7
26
34
6
1
2
26
23
26
22
15
16
4
16
1
6
9
20
9
18
29
3
4
36
18
31
14
32
15
29
0
10
13
31
32
25
26
7
7
7
26
5
18
7
35
11
12
11
1
25
29
17
6
2
32
19
11
12
28
15
0
2
5
33
8
5
0
20
14
8
36
5
13
7
12
2
13
15
27
34
22
11
9
31
10
8
32
10
33
3
21
19
36
2
7
5
16
1
21
2
25
9
10
4
12
17
21
12
6
36
0
24
3
4
1
4
13
1
30
25
29
0
28
7
17
22
3
9
5
33
12
33
34
12
16
14
7
16
18
7
33
6
7
3
36
34
31
12
10
12
11
14
8
10
26
14
0
35
19
0
9
15
17
6
8
26
23
32
20
8
26
23
32
20
8
26
36
5
7
30
33
27
31
7
13
36
15
7
29
32
10
19
31
28
5
13
13
23
18
16
20
32
20
9
23
32
28
16
28
16
31
2
31
31
35
14
9
