Number
0
5
17
33
12
30
2
10
18
19
27
36
19
5
9
8
0
7
24
33
20
12
34
4
1
2
24
36
21
0
10
21
19
16
24
19
34
18
35
33
17
14
2
19
30
31
15
21
7
21
18
26
36
18
16
24
35
24
30
2
3
4
12
3
33
35
32
25
9
1
9
14
36
10
17
34
25
22
19
22
0
0
17
26
2
17
17
23
13
20
21
9
23
27
14
14
9
8
13
14
36
26
22
32
26
29
9
26
15
14
20
12
6
34
13
13
